Type,Date,Amount,Description,Category,Account,Destination Account
Expense,01/03/2026,-2000.00,Monthly rent,Housing/Rent,Main Checking,
Expense,01/03/2026,-109.90,Internet bill,Housing/Internet,Main Checking,
Expense,02/03/2026,-12.50,Morning coffee,Food/Coffee Shops,Main Checking,
Expense,03/03/2026,-487.30,Weekly groceries,Food/Groceries,Main Checking,
Expense,04/03/2026,-35.50,Lunch with team,Food/Restaurants,Nubank Credit Card,
Income,05/03/2026,5500.00,Monthly salary,Salary,Salary Account,
Transfer,05/03/2026,-4000.00,Move salary to checking,,Salary Account,Main Checking
Expense,06/03/2026,-660.50,Health insurance premium,Health/Health Insurance,Main Checking,
Expense,07/03/2026,-99.90,Gym membership,Health/Gym,Main Checking,
Expense,08/03/2026,-39.90,Netflix subscription,Entertainment/Streaming,Main Checking,
Expense,09/03/2026,-240.00,Gas station fill-up,Transport/Fuel,Nubank Credit Card,
Expense,10/03/2026,-60.00,Movie night,Entertainment/Movies,Main Checking,
Expense,11/03/2026,-14.00,Coffee with a friend,Food/Coffee Shops,Main Checking,
Expense,12/03/2026,-87.45,Pharmacy purchases,Health/Pharmacy,Main Checking,
Expense,13/03/2026,-100.00,Public transit recharge,Transport/Public Transit,Main Checking,
Expense,14/03/2026,-28.50,Uber ride downtown,Transport/Ride Sharing,Main Checking,
Expense,15/03/2026,-312.80,Mid-month groceries,Food/Groceries,Main Checking,
Expense,16/03/2026,-52.00,Lunch out,Food/Restaurants,Nubank Credit Card,
Expense,17/03/2026,-199.00,Online course subscription,Education/Online Courses,Nubank Credit Card,
Expense,18/03/2026,-359.91,New running shoes,Shopping/Clothing,Itau Black Card,
Expense,19/03/2026,-11.00,Espresso,Food/Coffee Shops,Main Checking,
Expense,20/03/2026,-1299.00,Wireless headphones,Shopping/Electronics,Itau Black Card,
Income,21/03/2026,1800.00,Freelance design project,Freelance,Main Checking,
Expense,22/03/2026,-145.00,Anniversary dinner,Food/Restaurants,Nubank Credit Card,
Expense,23/03/2026,-89.90,Programming book,Education/Books,Main Checking,
Expense,24/03/2026,-410.50,Weekly groceries,Food/Groceries,Main Checking,
Expense,25/03/2026,-65.00,Haircut and grooming,Personal Care,Main Checking,
Income,26/03/2026,215.40,Stock dividends,Investments/Dividends,Investment Account,
Transfer,27/03/2026,-500.00,Monthly savings,,Main Checking,Savings Account
Expense,28/03/2026,-89.90,Steam game purchase,Entertainment/Games,Nubank Credit Card,
Expense,29/03/2026,-18.50,Cappuccino,Food/Coffee Shops,Main Checking,
Expense,30/03/2026,-178.30,Electricity bill,Housing/Utilities,Main Checking,
Income,31/03/2026,75.00,Item return refund,Refunds,Main Checking,
Payment,31/03/2026,-850.00,Nubank card payment,,Main Checking,Nubank Credit Card
Expense,01/04/2026,-2000.00,Monthly rent,Housing/Rent,Main Checking,
Expense,01/04/2026,-109.90,Internet bill,Housing/Internet,Main Checking,
Expense,02/04/2026,-13.50,Morning coffee,Food/Coffee Shops,Main Checking,
Expense,03/04/2026,-521.40,Weekly groceries,Food/Groceries,Main Checking,
Expense,04/04/2026,-92.00,Birthday dinner,Food/Restaurants,Nubank Credit Card,
Income,05/04/2026,5500.00,Monthly salary,Salary,Salary Account,
Transfer,05/04/2026,-4000.00,Move salary to checking,,Salary Account,Main Checking
Expense,06/04/2026,-660.50,Health insurance premium,Health/Health Insurance,Main Checking,
Expense,07/04/2026,-99.90,Gym membership,Health/Gym,Main Checking,
Expense,08/04/2026,-39.90,Streaming subscription,Entertainment/Streaming,Main Checking,
Expense,09/04/2026,-220.00,Gas station fill-up,Transport/Fuel,Nubank Credit Card,
Payment,10/04/2026,-1659.00,Itau card payment,,Main Checking,Itau Black Card
Expense,11/04/2026,-14.50,Coffee break,Food/Coffee Shops,Main Checking,
Expense,12/04/2026,-80.00,Concert tickets,Entertainment/Movies,Main Checking,
Expense,13/04/2026,-100.00,Public transit recharge,Transport/Public Transit,Main Checking,
Expense,14/04/2026,-35.40,Uber to the airport,Transport/Ride Sharing,Main Checking,
Expense,15/04/2026,-398.20,Mid-month groceries,Food/Groceries,Main Checking,
Expense,16/04/2026,-65.50,Lunch meeting,Food/Restaurants,Nubank Credit Card,
Expense,17/04/2026,-124.30,Pharmacy supplies,Health/Pharmacy,Main Checking,
Expense,18/04/2026,-149.00,Design course,Education/Online Courses,Nubank Credit Card,
Expense,19/04/2026,-89.00,Spa session,Personal Care,Main Checking,
Expense,20/04/2026,-280.00,New jacket,Shopping/Clothing,Itau Black Card,
Expense,21/04/2026,-64.90,Novel,Education/Books,Main Checking,
Expense,22/04/2026,-16.00,Afternoon latte,Food/Coffee Shops,Main Checking,
Income,23/04/2026,2400.00,Freelance website project,Freelance,Main Checking,
Expense,24/04/2026,-178.50,Friends dinner,Food/Restaurants,Nubank Credit Card,
Expense,25/04/2026,-467.30,Weekly groceries,Food/Groceries,Main Checking,
Expense,26/04/2026,-199.90,PS5 game purchase,Entertainment/Games,Nubank Credit Card,
Expense,27/04/2026,-549.00,Smart speaker,Shopping/Electronics,Itau Black Card,
Income,28/04/2026,245.80,Quarterly dividends,Investments/Dividends,Investment Account,
Income,28/04/2026,95.20,Savings interest,Investments/Interest,Savings Account,
Transfer,29/04/2026,-700.00,Monthly savings,,Main Checking,Savings Account
Expense,29/04/2026,-195.40,Electricity bill,Housing/Utilities,Main Checking,
Expense,30/04/2026,-17.50,Espresso,Food/Coffee Shops,Main Checking,
Payment,30/04/2026,-1100.00,Nubank card payment,,Main Checking,Nubank Credit Card
